"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"21.0","42.0","15.0","28.0","1","1","1","332.0","-208.0","8598.0","-138.0","-35.0","-4131.0","380.0","-72.0","-724.0","90","2"
"16.0","79.0","23.0","19.0","1","1","1","417.0","-249.0","8609.0","-183.0","32.0","-4301.0","284.0","-36.0","-710.0","90","2"
"22.0","16.0","8.0","31.0","1","1","1","331.0","-429.0","8565.0","-127.0","63.0","-3869.0","195.0","-45.0","-701.0","90","3"
"19.0","67.0","12.0","24.0","1","1","1","263.0","-358.0","8659.0","124.0","-32.0","3995.0","249.0","-23.0","-713.0","90","3"
"16.0","45.0","15.0","23.0","1","1","1","411.0","-221.0","8574.0","150.0","-42.0","4293.0","346.0","-44.0","-710.0","90","3"
"81.0","40.0","17.0","71.0","1","1","1","371.0","-261.0","8698.0","101.0","15.0","3403.0","402.0","-100.0","-706.0","90","3"
"42.0","51.0","27.0","13.0","1","1","1","192.0","-242.0","8598.0","-15.0","16.0","13.0","410.0","-178.0","-714.0","90","0"
"40.0","51.0","28.0","16.0","1","1","1","-150.0","-301.0","8571.0","15.0","55.0","83.0","419.0","-181.0","-717.0","90","0"
"34.0","47.0","27.0","20.0","1","1","1","110.0","-152.0","8640.0","-5.0","-27.0","103.0","402.0","-182.0","-714.0","90","0"
"29.0","38.0","25.0","26.0","1","1","1","245.0","-235.0","8701.0","-7.0","28.0","205.0","412.0","-180.0","-726.0","90","0"
"23.0","41.0","25.0","32.0","1","1","1","237.0","-254.0","8659.0","-15.0","-25.0","220.0","415.0","-185.0","-723.0","90","0"
"17.0","39.0","60.0","38.0","1","1","1","128.0","-247.0","8600.0","-6.0","8.0","315.0","416.0","-188.0","-710.0","90","0"
"9.0","7.0","59.0","6.0","1","1","1","243.0","-251.0","8589.0","-13.0","15.0","11.0","408.0","-206.0","-716.0","90","2"
"11.0","11.0","28.0","42.0","1","1","1","376.0","-225.0","8590.0","-112.0","6.0","-3105.0","407.0","-159.0","-723.0","90","2"
"18.0","9.0","14.0","49.0","1","1","1","398.0","-307.0","8458.0","-139.0","53.0","-4043.0","376.0","-84.0","-720.0","90","2"
"16.0","18.0","25.0","32.0","1","1","1","235.0","-168.0","8590.0","-14.0","15.0","10.0","298.0","-34.0","-712.0","90","0"
"14.0","16.0","53.0","35.0","1","1","1","-35.0","-143.0","8634.0","19.0","22.0","146.0","291.0","-29.0","-707.0","90","0"
"9.0","18.0","14.0","39.0","1","1","1","116.0","-123.0","8444.0","22.0","39.0","248.0","306.0","-38.0","-716.0","90","0"
"4.0","11.0","6.0","44.0","1","1","1","218.0","-157.0","8587.0","-14.0","15.0","10.0","302.0","-48.0","-712.0","90","1"
"4.0","15.0","66.0","43.0","1","1","1","622.0","-159.0","8517.0","-4.0","10.0","-64.0","301.0","-47.0","-719.0","90","1"
"9.0","16.0","21.0","38.0","1","1","1","299.0","-97.0","8584.0","-37.0","22.0","-190.0","306.0","-50.0","-720.0","90","1"
"15.0","18.0","70.0","33.0","1","1","1","229.0","-231.0","8605.0","-58.0","41.0","-194.0","288.0","-40.0","-710.0","90","1"
"20.0","62.0","27.0","27.0","1","1","1","191.0","-254.0","8527.0","-13.0","41.0","-93.0","301.0","-31.0","-715.0","90","1"
"27.0","63.0","34.0","22.0","1","1","1","190.0","-210.0","8637.0","7.0","-55.0","-177.0","291.0","-31.0","-707.0","90","1"
"32.0","20.0","77.0","17.0","1","1","1","173.0","-186.0","8525.0","-59.0","4.0","-174.0","290.0","-36.0","-704.0","90","1"
"37.0","25.0","45.0","11.0","1","1","1","281.0","-322.0","8595.0","-20.0","92.0","-181.0","279.0","-27.0","-709.0","90","1"
"43.0","77.0","63.0","6.0","1","1","1","235.0","-165.0","8557.0","-48.0","-18.0","-185.0","289.0","-33.0","-713.0","90","1"
"51.0","17.0","56.0","4.0","1","1","1","372.0","-379.0","8594.0","-8.0","0.0","13.0","274.0","-14.0","-706.0","90","0"
"47.0","77.0","64.0","4.0","1","1","1","-113.0","-47.0","8677.0","20.0","-33.0","5.0","267.0","-21.0","-715.0","90","0"
"40.0","77.0","83.0","10.0","1","1","1","110.0","-191.0","8556.0","-14.0","2.0","16.0","270.0","-30.0","-710.0","90","0"
"34.0","35.0","35.0","15.0","1","1","1","290.0","-220.0","8551.0","5.0","-40.0","89.0","273.0","-15.0","-713.0","90","0"
"27.0","26.0","75.0","22.0","1","1","1","296.0","-197.0","8629.0","-3.0","-76.0","283.0","284.0","-24.0","-708.0","90","0"
