leftUltrasonic,upperLeftUltrasonic, middleUltrasonic, upperRightUltrasonic,rightUltrasonic,L0,L1,L2,xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag,servoAngle,state
57,56,35,31,22,1,1,1,313,-110,8543,-51,10,131,219,-23,-729,90,0
55,54,29,27,23,1,1,1,387,-153,8497,-14,-61,122,223,-9,-731,90,0
7,35,62,21,5,1,1,1,496,-267,8463,-15,-1,175,218,-24,-730,90,0
7,48,20,16,34,1,1,1,374,-162,8462,16,21,273,210,-32,-728,90,1
56,44,53,14,33,1,1,1,580,-325,8626,170,28,2783,249,-51,-733,90,1
7,44,43,16,6,1,1,1,704,-274,8673,200,-48,3672,276,-94,-740,90,1
63,91,42,44,5,1,1,1,490,-52,8495,245,57,3869,293,-163,-745,90,0
8,62,40,41,7,1,1,1,239,-147,8616,-26,-35,61,288,-180,-744,90,0
8,62,35,36,23,1,1,1,316,-235,8519,-23,-7,24,289,-171,-753,90,0
7,84,31,31,6,1,1,1,400,-202,8619,-5,-24,49,282,-176,-740,90,0
70,81,26,29,25,1,1,1,446,-217,8526,-33,-27,111,290,-186,-734,90,0
72,29,20,21,25,1,1,1,475,-242,8471,-18,59,228,297,-177,-743,90,0
8,22,16,16,27,1,1,1,447,-193,8580,-15,-13,86,304,-194,-746,90,1
7,55,18,12,48,1,1,1,647,-310,8503,114,-42,2637,278,-226,-760,90,1
83,66,73,13,5,1,1,1,600,-84,8614,172,32,2819,246,-268,-754,90,1
6,57,66,18,18,1,1,1,478,-198,8614,169,-19,2983,183,-293,-747,90,0
8,50,65,16,5,1,1,1,178,-200,8565,-1,-46,29,186,-314,-744,90,1
50,62,62,106,5,1,1,1,394,-159,8579,59,53,1579,157,-303,-737,90,0
8,48,58,113,5,1,1,1,163,-220,8555,-28,-9,9,147,-303,-739,90,0
8,51,56,39,6,1,1,1,248,-223,8554,3,16,62,144,-304,-732,90,0
58,51,49,111,13,1,1,1,373,-247,8663,9,12,145,138,-298,-736,90,0
63,47,44,67,13,1,1,1,379,-205,8678,30,22,60,130,-318,-736,90,0
10,42,40,106,6,1,1,1,303,-159,8546,17,63,84,131,-307,-733,90,0
7,36,34,16,7,1,1,1,303,-184,8573,9,23,93,115,-319,-729,90,1
7,48,33,34,12,1,1,1,613,-182,8534,94,-39,2208,75,-301,-731,90,0
63,75,31,33,13,1,1,1,138,-156,8530,-25,-64,82,61,-291,-719,90,0
9,43,27,27,14,1,1,1,304,-124,8547,-34,3,128,57,-297,-711,90,0
61,63,22,26,7,1,1,1,309,-228,8505,-9,-37,110,55,-287,-713,90,0
7,42,17,25,17,1,1,1,345,-142,8575,-7,24,130,45,-285,-707,90,1
58,56,18,14,6,1,1,1,704,-146,8579,133,19,2633,11,-257,-695,90,1
77,53,59,16,28,1,1,1,552,-67,8653,152,-7,2869,-22,-218,-692,90,1
76,52,56,20,6,1,1,1,426,-179,8481,142,60,2798,-36,-156,-684,90,1
7,55,54,53,7,1,1,1,391,-169,8639,122,4,2740,-24,-94,-688,90,0
77,91,52,52,23,1,1,1,4,-158,8529,-21,55,80,-19,-77,-679,90,0
8,62,47,49,23,1,1,1,331,-124,8584,6,-7,59,-18,-70,-658,90,0
76,48,42,72,23,1,1,1,278,-88,8588,-21,-46,34,-34,-60,-650,90,0
9,69,37,47,22,1,1,1,480,-158,8452,-23,-82,90,-22,-48,-642,90,0
77,58,32,45,22,1,1,1,415,-194,8582,-33,23,162,-2,-24,-626,90,0
71,33,27,29,21,1,1,1,437,-154,8663,34,58,46,3,-33,-625,90,0
77,52,21,36,43,1,1,1,359,-11,8557,-11,37,36,30,-36,-646,90,0
51,85,16,50,23,1,1,1,402,-156,8470,-7,27,195,39,-67,-645,90,1
73,44,15,14,26,1,1,1,698,-154,8539,157,27,2570,54,-46,-670,90,1
7,43,46,14,39,1,1,1,618,-85,8612,205,33,3269,102,-26,-682,90,1
6,67,42,107,19,1,1,1,407,-186,8571,173,-3,3320,156,-8,-684,90,0
7,64,40,115,6,1,1,1,219,-112,8569,0,-11,80,151,-13,-691,90,0
8,60,39,19,17,1,1,1,356,-193,8569,-27,-12,127,154,-16,-696,90,0
7,55,57,107,15,1,1,1,471,-198,8567,-8,30,137,148,-22,-708,90,0
48,51,51,61,6,1,1,1,421,-234,8536,24,19,62,145,-21,-701,90,0
57,45,46,19,11,1,1,1,465,-135,8555,11,49,115,139,-17,-709,90,0
59,40,84,16,5,1,1,1,471,-93,8592,16,63,131,125,-13,-711,90,0
7,34,37,10,9,1,1,1,494,-168,8602,7,39,177,122,-6,-720,90,1
7,51,33,33,10,1,1,1,871,57,8568,125,-46,2475,177,1,-725,90,0
10,48,31,39,11,1,1,1,194,-127,8590,-18,36,83,182,-6,-720,90,0
8,48,27,31,10,1,1,1,413,-171,8567,-37,31,112,187,-17,-729,90,0
8,47,22,24,10,1,1,1,466,-146,8604,3,-36,167,189,-9,-727,90,0
62,55,16,16,11,1,1,1,447,-231,8535,-34,41,175,195,-27,-727,90,1
7,44,20,13,4,1,1,1,904,-103,8583,190,-25,3046,229,-29,-729,90,1
70,55,57,14,4,1,1,1,676,-492,8568,230,48,3762,270,-76,-736,90,1
7,55,54,87,19,1,1,1,418,-140,8696,239,18,3759,289,-137,-739,90,0
7,54,51,50,6,1,1,1,134,-168,8545,0,34,-39,283,-145,-741,90,0
60,40,47,51,7,1,1,1,263,-189,8567,7,50,77,300,-156,-740,90,0
81,47,42,46,19,1,1,1,220,-246,8544,16,-83,136,291,-159,-739,90,0
64,46,37,39,18,1,1,1,344,-184,8449,-7,22,39,291,-159,-741,90,0
73,37,32,34,7,1,1,1,467,-252,8621,-34,-37,109,296,-164,-750,90,0
7,35,26,31,6,1,1,1,521,-197,8623,-8,100,140,294,-152,-746,90,0
7,31,21,23,18,1,1,1,484,-254,8496,3,-42,146,297,-159,-753,90,0
81,26,16,18,6,1,1,1,397,-270,8586,18,35,49,293,-169,-743,90,1
81,26,16,14,6,1,1,1,627,-575,8493,100,-5,2337,294,-202,-748,90,1
7,61,24,13,6,1,1,1,411,-157,8543,88,-3,2129,273,-229,-753,90,1
82,74,25,15,20,1,1,1,398,-230,8507,116,11,2240,242,-272,-750,90,1
58,74,74,22,19,1,1,1,203,-267,8568,121,61,2504,194,-290,-744,90,0
9,60,72,19,6,1,1,1,83,-316,8563,0,-20,-8,194,-314,-738,90,1
6,69,69,21,6,1,1,1,431,-32,8584,66,-30,1398,165,-297,-751,90,0
59,69,66,109,19,1,1,1,132,-209,8594,-14,-14,29,164,-304,-742,90,0
7,51,61,106,17,1,1,1,280,-261,8491,11,17,25,157,-301,-737,90,0
6,51,57,37,15,1,1,1,238,-270,8526,-8,66,17,162,-304,-742,90,0
58,54,52,99,5,1,1,1,384,-165,8624,-2,51,-26,167,-317,-743,90,0
8,48,47,73,10,1,1,1,239,-149,8474,-6,-9,73,151,-317,-735,90,0
7,41,41,88,10,1,1,1,291,-137,8582,-8,22,141,146,-310,-736,90,0
7,37,36,106,5,1,1,1,362,-187,8623,1,-30,59,149,-313,-729,90,0
7,68,31,7,5,1,1,1,366,-202,8614,9,23,11,135,-327,-737,90,0
8,27,26,75,6,1,1,1,321,-199,8586,10,-9,98,124,-320,-726,90,0
7,23,20,91,5,1,1,1,306,-151,8448,-20,43,179,108,-314,-732,90,0
71,19,15,5,5,1,1,1,361,-253,8636,-20,-21,93,121,-321,-743,90,1
71,68,13,15,5,1,1,1,691,-161,8461,107,-25,2295,66,-318,-742,90,1
69,67,15,12,4,1,1,1,652,42,8476,207,-9,2630,20,-290,-722,90,1
7,49,95,12,18,1,1,1,157,-63,8512,22,-21,1229,-3,-269,-727,90,1
81,62,67,13,6,1,1,1,477,-191,8609,131,37,2351,-35,-231,-719,90,1
9,62,63,115,7,1,1,1,301,-63,8522,146,-21,2806,-44,-146,-726,90,0
6,61,61,110,17,1,1,1,136,-240,8581,-30,23,49,-35,-149,-721,90,0
85,56,58,17,16,1,1,1,240,-161,8507,-4,5,85,-31,-147,-705,90,1
8,56,55,109,17,1,1,1,490,99,8606,95,-12,2097,-30,-90,-674,90,0
7,55,51,54,17,1,1,1,199,-137,8564,-23,24,62,-30,-76,-650,90,0
83,50,46,76,6,1,1,1,361,-114,8582,-4,17,12,-36,-70,-634,90,0
